"id_mesa","id_establecimiento","descripcion","sexo","ciudadanos_habilitados","tipo","extranjera"
493,7943,493,,350,"Electronica","NO"
494,9274,494,,350,"Electronica","NO"
495,4018,495,,350,"Electronica","NO"
496,4024,496,,350,"Electronica","NO"
497,9279,497,,350,"Electronica","NO"
498,4755,498,,350,"Electronica","NO"
499,4774,499,,350,"Electronica","NO"
500,8124,500,,350,"Electronica","NO"
501,8125,501,,350,"Electronica","NO"
502,8970,502,,350,"Electronica","NO"
503,4932,503,,350,"Electronica","NO"
504,4941,504,,350,"Electronica","NO"
505,4946,505,,350,"Electronica","NO"
506,4949,506,,350,"Electronica","NO"
507,8611,507,,350,"Electronica","NO"
508,9165,508,,350,"Electronica","NO"
509,4904,509,,350,"Electronica","NO"
510,4938,510,,350,"Electronica","NO"
511,8614,511,,350,"Electronica","NO"
512,9168,512,,350,"Electronica","NO"
513,4898,513,,350,"Electronica","NO"
514,4907,514,,350,"Electronica","NO"
515,4910,515,,350,"Electronica","NO"
516,4917,516,,350,"Electronica","NO"
517,4919,517,,350,"Electronica","NO"
518,9171,518,,350,"Electronica","NO"
519,4935,519,,350,"Electronica","NO"
520,4940,520,,350,"Electronica","NO"
521,4947,521,,350,"Electronica","NO"
522,5271,522,,350,"Electronica","NO"
523,5273,523,,350,"Electronica","NO"
524,5283,524,,350,"Electronica","NO"
525,8374,525,,350,"Electronica","NO"
526,4864,526,,350,"Electronica","NO"
527,5268,527,,350,"Electronica","NO"
528,7768,528,,350,"Electronica","NO"
529,8617,529,,350,"Electronica","NO"
530,9174,530,,350,"Electronica","NO"
531,9176,531,,350,"Electronica","NO"
532,4802,532,,350,"Electronica","NO"
533,6902,533,,350,"Electronica","NO"
534,7955,534,,350,"Electronica","NO"
535,8620,535,,350,"Electronica","NO"
536,8629,536,,350,"Electronica","NO"
537,9179,537,,350,"Electronica","NO"
538,9200,538,,350,"Electronica","NO"
539,9203,539,,350,"Electronica","NO"
540,4813,540,,350,"Electronica","NO"
541,4866,541,,350,"Electronica","NO"
542,4872,542,,350,"Electronica","NO"
543,5248,543,,350,"Electronica","NO"
544,7771,544,,350,"Electronica","NO"
545,8632,545,,350,"Electronica","NO"
546,9206,546,,350,"Electronica","NO"
547,9209,547,,350,"Electronica","NO"
548,4798,548,,350,"Electronica","NO"
549,4812,549,,350,"Electronica","NO"
550,4818,550,,350,"Electronica","NO"
551,4851,551,,350,"Electronica","NO"
552,4869,552,,350,"Electronica","NO"
553,5230,553,,350,"Electronica","NO"
554,5242,554,,350,"Electronica","NO"
555,5245,555,,350,"Electronica","NO"
556,8638,556,,350,"Electronica","NO"
557,9212,557,,350,"Electronica","NO"
558,4876,558,,350,"Electronica","NO"
559,4895,559,,350,"Electronica","NO"
560,4896,560,,350,"Electronica","NO"
561,4905,561,,350,"Electronica","NO"
562,5257,562,,350,"Electronica","NO"
563,8764,563,,350,"Electronica","NO"
564,9215,564,,350,"Electronica","NO"
565,4879,565,,350,"Electronica","NO"
566,4893,566,,350,"Electronica","NO"
567,4922,567,,350,"Electronica","NO"
568,5249,568,,350,"Electronica","NO"
569,8498,569,,350,"Electronica","NO"
570,9075,570,,350,"Electronica","NO"
571,4897,571,,350,"Electronica","NO"
572,4912,572,,350,"Electronica","NO"
573,4916,573,,350,"Electronica","NO"
574,8055,574,,350,"Electronica","NO"
575,8502,575,,350,"Electronica","NO"
576,8505,576,,350,"Electronica","NO"
577,8508,577,,350,"Electronica","NO"
578,9078,578,,350,"Electronica","NO"
579,4939,579,,350,"Electronica","NO"
580,4942,580,,350,"Electronica","NO"
581,4967,581,,350,"Electronica","NO"
582,5258,582,,350,"Electronica","NO"
583,5259,583,,350,"Electronica","NO"
584,7773,584,,350,"Electronica","NO"
585,9218,585,,350,"Electronica","NO"
586,4945,586,,350,"Electronica","NO"
587,4954,587,,350,"Electronica","NO"
588,4956,588,,350,"Electronica","NO"
589,4957,589,,350,"Electronica","NO"
590,4959,590,,350,"Electronica","NO"
591,5263,591,,350,"Electronica","NO"
592,5267,592,,350,"Electronica","NO"
593,5332,593,,350,"Electronica","NO"
594,8010,594,,350,"Electronica","NO"
595,8517,595,,350,"Electronica","NO"
596,9081,596,,350,"Electronica","NO"
