"id_provincia","id_departamento","id_localidad","id_establecimiento","certificado","promiscuo","tel_fijo","direccion"
,,,4902,780,"NO",,
,,,5136,781,"NO",,
,,,5275,782,"NO",,
,,,8409,783,"NO",,
,,,9182,784,"NO",,
,,,4446,785,"NO",,
,,,4554,786,"NO",,
,,,4565,787,"NO",,
,,,8964,788,"NO",,
,,,4509,789,"NO",,
,,,4510,790,"NO",,
,,,5178,791,"NO",,
,,,8417,792,"NO",,
,,,9185,793,"NO",,
,,,4420,794,"NO",,
,,,4437,795,"NO",,
,,,4443,796,"NO",,
,,,5135,797,"NO",,
,,,8420,798,"NO",,
,,,8426,799,"NO",,
,,,9188,800,"NO",,
,,,9191,801,"NO",,
,,,4417,802,"NO",,
,,,4423,803,"NO",,
,,,8435,804,"NO",,
,,,9194,805,"NO",,
,,,9197,806,"NO",,
,,,4867,807,"NO",,
,,,4871,808,"NO",,
,,,8438,809,"NO",,
,,,8441,810,"NO",,
,,,8444,811,"NO",,
